edition,season,cutoff,team,squad_mv_eur,squad_size,matched,valued
WC2014,2013,2014-06-12,Australia,14050000,23,15,13
WC2014,2013,2014-06-12,Belgium,348000000,23,23,23
WC2014,2013,2014-06-12,Bosnia and Herzegovina,113850000,23,21,21
WC2014,2013,2014-06-12,Brazil,455350000,23,23,23
WC2014,2013,2014-06-12,Cameroon,104200000,23,20,20
WC2014,2013,2014-06-12,Chile,130400000,23,17,17
WC2014,2013,2014-06-12,Colombia,185850000,23,22,18
WC2014,2013,2014-06-12,Costa Rica,24800000,23,14,12
WC2014,2013,2014-06-12,Croatia,196500000,23,23,22
WC2014,2013,2014-06-12,Ecuador,41300000,23,12,8
WC2014,2013,2014-06-12,England,334000000,23,23,23
WC2014,2013,2014-06-12,France,379250000,23,23,23
WC2014,2013,2014-06-12,Germany,526000000,23,23,23
WC2014,2013,2014-06-12,Ghana,91200000,23,20,18
WC2014,2013,2014-06-12,Greece,77400000,23,22,22
WC2014,2013,2014-06-12,Honduras,15800000,23,15,9
WC2014,2013,2014-06-12,Iran,9950000,23,11,9
WC2014,2013,2014-06-12,Italy,323000000,23,23,23
WC2014,2013,2014-06-12,Ivory Coast,122600000,23,21,21
WC2014,2013,2014-06-12,Japan,85850000,23,21,15
WC2014,2013,2014-06-12,Mexico,62900000,23,16,14
WC2014,2013,2014-06-12,Netherlands,207500000,23,23,23
WC2014,2013,2014-06-12,Nigeria,62950000,23,18,18
WC2014,2013,2014-06-12,Portugal,297250000,23,23,23
WC2014,2013,2014-06-12,Russia,158550000,23,20,20
WC2014,2013,2014-06-12,South Korea,41700000,23,23,15
WC2014,2013,2014-06-12,Spain,583250000,23,23,23
WC2014,2013,2014-06-12,Switzerland,173500000,23,22,22
WC2014,2013,2014-06-12,United States,51900000,23,17,15
WC2014,2013,2014-06-12,Uruguay,209100000,23,21,20
WC2018,2017,2018-06-14,Argentina,660500000,23,23,19
WC2018,2017,2018-06-14,Australia,45000000,23,20,16
WC2018,2017,2018-06-14,Belgium,754000000,23,23,23
WC2018,2017,2018-06-14,Brazil,869900000,23,23,23
WC2018,2017,2018-06-14,Colombia,289750000,23,23,22
WC2018,2017,2018-06-14,Costa Rica,36225000,23,15,14
WC2018,2017,2018-06-14,Croatia,364000000,23,23,23
WC2018,2017,2018-06-14,Denmark,235300000,23,21,19
WC2018,2017,2018-06-14,Egypt,182075000,23,15,11
WC2018,2017,2018-06-14,England,874000000,23,23,23
WC2018,2017,2018-06-14,France,1080500000,23,23,23
WC2018,2017,2018-06-14,Germany,868000000,23,22,22
WC2018,2017,2018-06-14,Iceland,13800000,23,14,13
WC2018,2017,2018-06-14,Iran,44250000,23,18,18
WC2018,2017,2018-06-14,Japan,69350000,23,22,20
WC2018,2017,2018-06-14,Mexico,129300000,23,20,17
WC2018,2017,2018-06-14,Morocco,123900000,23,19,19
WC2018,2017,2018-06-14,Nigeria,126650000,23,18,18
WC2018,2017,2018-06-14,Panama,1450000,23,9,5
WC2018,2017,2018-06-14,Peru,24700000,23,19,12
WC2018,2017,2018-06-14,Poland,272800000,23,21,21
WC2018,2017,2018-06-14,Portugal,479500000,23,22,22
WC2018,2017,2018-06-14,Russia,130175000,23,18,18
WC2018,2017,2018-06-14,Saudi Arabia,4625000,23,16,6
WC2018,2017,2018-06-14,Senegal,285650000,23,23,22
WC2018,2017,2018-06-14,Serbia,280450000,23,23,23
WC2018,2017,2018-06-14,South Korea,75900000,23,23,10
WC2018,2017,2018-06-14,Spain,875300000,23,22,22
WC2018,2017,2018-06-14,Sweden,119750000,23,23,23
WC2018,2017,2018-06-14,Switzerland,214100000,23,22,22
WC2018,2017,2018-06-14,Tunisia,50300000,23,15,15
WC2018,2017,2018-06-14,Uruguay,311250000,23,21,20
WC2022,2021,2022-11-20,Argentina,642000000,26,26,25
WC2022,2021,2022-11-20,Australia,31500000,26,25,20
WC2022,2021,2022-11-20,Belgium,563200000,26,26,26
WC2022,2021,2022-11-20,Brazil,1003950000,26,26,24
WC2022,2021,2022-11-20,Cameroon,104500000,26,20,19
WC2022,2021,2022-11-20,Canada,164800000,26,23,15
WC2022,2021,2022-11-20,Costa Rica,14550000,26,22,16
WC2022,2021,2022-11-20,Croatia,377000000,26,26,26
WC2022,2021,2022-11-20,Denmark,333500000,26,23,23
WC2022,2021,2022-11-20,Ecuador,122000000,26,22,14
WC2022,2021,2022-11-20,England,1260000000,26,26,26
WC2022,2021,2022-11-20,France,1032500000,26,26,26
WC2022,2021,2022-11-20,Germany,885500000,26,26,26
WC2022,2021,2022-11-20,Ghana,208800000,26,21,20
WC2022,2021,2022-11-20,Iran,54000000,25,19,18
WC2022,2021,2022-11-20,Japan,150500000,26,26,24
WC2022,2021,2022-11-20,Mexico,131600000,26,25,17
WC2022,2021,2022-11-20,Morocco,217700000,26,20,19
WC2022,2021,2022-11-20,Netherlands,587250000,26,26,26
WC2022,2021,2022-11-20,Poland,255600000,26,26,26
WC2022,2021,2022-11-20,Portugal,937000000,26,26,26
WC2022,2021,2022-11-20,Qatar,5800000,26,16,4
WC2022,2021,2022-11-20,Saudi Arabia,4200000,26,23,3
WC2022,2021,2022-11-20,Senegal,226300000,26,25,25
WC2022,2021,2022-11-20,Serbia,354250000,26,25,25
WC2022,2021,2022-11-20,South Korea,85000000,26,8,3
WC2022,2021,2022-11-20,Spain,797250000,26,26,26
WC2022,2021,2022-11-20,Switzerland,272000000,26,25,24
WC2022,2021,2022-11-20,Tunisia,43175000,26,18,16
WC2022,2021,2022-11-20,United States,247900000,26,26,19
WC2022,2021,2022-11-20,Uruguay,363250000,26,26,21
WC2022,2021,2022-11-20,Wales,149000000,26,25,22
